RN,TS,F2UR,F3UF,F4NBDM,F5NBDR,F6NBDF
701,8/6/2016 7:00,0.0,0.0,0.0,0.0,0.0
702,8/6/2016 7:15,0.0,0.0,0.0,0.0,0.0
703,8/6/2016 7:30,0.0,0.0,0.0,0.0,0.0
704,8/6/2016 7:45,0.0,0.0,0.0,0.0,0.0
705,8/6/2016 8:00,0.0,0.0,0.0,0.0,0.0
706,8/6/2016 8:15,0.0,0.0,0.0,0.0,0.0
707,8/6/2016 8:30,0.0,0.0,0.0,0.0,0.0
708,8/6/2016 8:45,0.0,0.0,0.0,0.0,0.0
709,8/6/2016 9:00,0.0,0.0,0.0,0.0,0.0
710,8/6/2016 9:15,0.0,0.0,0.0,0.0,0.0
711,8/6/2016 9:30,0.0,0.0,0.0,0.0,0.0
712,8/6/2016 9:45,0.0,0.0,0.0,0.0,0.0
713,8/6/2016 10:00,0.0,0.0,0.0,0.0,0.0
714,8/6/2016 10:15,0.0,0.0,0.0,0.0,0.0
715,8/6/2016 10:30,0.0,0.0,0.0,0.0,0.0
716,8/6/2016 10:45,0.0,0.0,0.0,0.0,0.0
717,8/6/2016 11:00,0.0,0.0,0.0,0.0,0.0
718,8/6/2016 11:15,0.0,0.0,0.0,0.0,0.0
719,8/6/2016 11:30,0.0,0.0,0.0,0.0,0.0
720,8/6/2016 11:45,0.0,0.0,0.0,0.0,0.0
721,8/6/2016 12:00,0.0,0.0,0.0,0.0,0.0
722,8/6/2016 12:15,0.0,0.0,0.0,0.0,0.0
723,8/6/2016 12:30,0.0,0.0,0.0,0.0,0.0
724,8/6/2016 12:45,0.0,0.0,0.0,0.0,0.0
725,8/6/2016 13:00,0.0,0.0,0.0,0.0,0.0
726,8/6/2016 13:15,0.0,0.0,0.0,0.0,0.0
727,8/6/2016 13:30,0.0,0.0,0.0,0.0,0.0
728,8/6/2016 13:45,0.0,0.0,0.0,0.0,0.0
729,8/6/2016 14:00,0.0,0.0,0.0,0.0,0.0
730,8/6/2016 14:15,0.0,0.0,0.0,0.0,0.0
731,8/6/2016 14:30,0.0,0.0,0.0,0.0,0.0
732,8/6/2016 14:45,0.0,0.0,0.0,0.0,0.0
733,8/6/2016 15:00,0.0,0.0,0.0,0.0,0.0
734,8/6/2016 15:15,0.0,0.0,0.0,0.0,0.0
735,8/6/2016 15:30,0.0,0.0,0.0,0.0,0.0
736,8/6/2016 15:45,0.0,0.0,0.0,0.0,0.0
737,8/6/2016 16:00,0.0,0.0,0.0,0.0,0.0
738,8/6/2016 16:15,0.0,0.0,0.0,0.0,0.0
739,8/6/2016 16:30,0.0,0.0,0.0,0.0,0.0
740,8/6/2016 16:45,0.0,0.0,0.0,0.0,0.0
741,8/6/2016 17:00,0.0,0.0,0.0,0.0,0.0
742,8/6/2016 17:15,0.0,0.0,0.0,0.0,0.0
743,8/6/2016 17:30,0.0,0.0,0.0,0.0,0.0
744,8/6/2016 17:45,0.0,0.0,0.0,0.0,0.0
745,8/6/2016 18:00,0.0,0.0,0.0,0.0,0.0
746,8/6/2016 18:15,0.0,0.0,0.0,0.0,0.0
747,8/6/2016 18:30,0.0,0.0,0.0,0.0,0.0
748,8/6/2016 18:45,0.0,0.0,0.0,0.0,0.0
749,8/6/2016 19:00,0.0,0.0,0.0,0.0,0.0
750,8/6/2016 19:15,0.0,0.0,0.0,0.0,0.0
751,8/6/2016 19:30,0.0,0.0,0.0,0.0,0.0
752,8/6/2016 19:45,0.0,0.0,0.0,0.0,0.0
753,8/6/2016 20:00,0.0,0.0,0.0,0.0,0.0
754,8/6/2016 20:15,0.0,0.0,0.0,0.0,0.0
755,8/6/2016 20:30,0.0,0.0,0.0,0.0,0.0
756,8/6/2016 20:45,0.0,0.0,0.0,0.0,0.0
757,8/6/2016 21:00,0.0,0.0,0.0,0.0,0.0
758,8/6/2016 21:15,0.0,0.0,0.0,0.0,0.0
759,8/6/2016 21:30,0.0,0.0,0.0,0.0,0.0
760,8/6/2016 21:45,0.0,0.0,0.0,0.0,0.0
761,8/6/2016 22:00,0.0,0.0,0.0,0.0,0.0
762,8/6/2016 22:15,0.0,0.0,0.0,0.0,0.0
763,8/6/2016 22:30,0.0,0.0,0.0,0.0,0.0
764,8/6/2016 22:45,0.0,0.0,0.0,0.0,0.0
765,8/6/2016 23:00,0.0,0.0,0.0,0.0,0.0
766,8/6/2016 23:15,0.0,0.0,0.0,0.0,0.0
767,8/6/2016 23:30,0.0,0.0,0.0,0.0,0.0
768,8/6/2016 23:45,0.0,0.0,0.0,0.0,0.0
769,8/7/2016 0:00,0.0,0.0,0.0,0.0,0.0
770,8/7/2016 0:15,0.0,0.0,0.0,0.0,0.0
771,8/7/2016 0:30,0.0,0.0,0.0,0.0,0.0
772,8/7/2016 0:45,0.0,0.0,0.0,0.0,0.0
773,8/7/2016 1:00,0.0,0.0,0.0,0.0,0.0
774,8/7/2016 1:15,0.0,0.0,0.0,0.0,0.0
775,8/7/2016 1:30,0.0,0.0,0.0,0.0,0.0
776,8/7/2016 1:45,0.0,0.0,0.0,0.0,0.0
777,8/7/2016 2:00,0.0,0.0,0.0,0.0,0.0
778,8/7/2016 2:15,0.0,0.0,0.0,0.0,0.0
779,8/7/2016 2:30,0.0,0.0,0.0,0.0,0.0
780,8/7/2016 2:45,0.0,0.0,0.0,0.0,0.0
781,8/7/2016 3:00,0.0,0.0,0.0,0.0,0.0
782,8/7/2016 3:15,0.0,0.0,0.0,0.0,0.0
783,8/7/2016 3:30,0.0,0.0,0.0,0.0,0.0
784,8/7/2016 3:45,0.0,0.0,0.0,0.0,0.0
785,8/7/2016 4:00,0.0,0.0,0.0,0.0,0.0
786,8/7/2016 4:15,0.0,0.0,0.0,0.0,0.0
787,8/7/2016 4:30,0.0,0.0,0.0,0.0,0.0
788,8/7/2016 4:45,0.0,0.0,0.0,0.0,0.0
789,8/7/2016 5:00,0.0,0.0,0.0,0.0,0.0
